iter	Passed	Remaining
273	2033	5388
274	2039	5376
275	2046	5369
276	2052	5357
277	2059	5347
278	2066	5339
279	2071	5326
280	2079	5319
281	2085	5310
282	2091	5299
283	2098	5291
284	2103	5276
285	2109	5265
286	2115	5256
287	2121	5243
288	2130	5240
289	2138	5236
290	2145	5227
291	2150	5214
292	2155	5200
293	2161	5191
294	2166	5177
295	2171	5164
296	2178	5156
297	2184	5145
298	2189	5133
299	2195	5122
300	2200	5109
301	2206	5100
302	2211	5088
303	2216	5075
304	2223	5066
305	2230	5058
306	2235	5046
307	2242	5039
308	2247	5026
309	2253	5016
310	2260	5008
311	2265	4995
312	2273	4990
313	2278	4978
314	2283	4966
315	2290	4957
316	2296	4947
317	2302	4938
318	2308	4928
319	2314	4918
320	2323	4914
321	2330	4906
322	2338	4901
323	2344	4891
324	2354	4890
325	2361	4881
326	2369	4876
327	2376	4868
328	2384	4863
329	2391	4854
330	2398	4848
331	2408	4846
332	2415	4838
333	2421	4828
334	2428	4821
335	2437	4816
336	2445	4811
337	2453	4805
338	2460	4798
339	2475	4804
340	2482	4797
341	2488	4787
342	2494	4777
343	2501	4769
344	2506	4758
345	2513	4750
346	2518	4739
347	2523	4728
348	2533	4726
349	2541	4720
350	2547	4710
351	2553	4700
352	2559	4691
353	2564	4679
354	2570	4669
355	2576	4660
356	2581	4649
357	2586	4638
358	2593	4630
359	2599	4620
360	2604	4609
361	2610	4601
362	2616	4591
363	2621	4580
364	2627	4570
365	2634	4563
366	2640	4554
367	2646	4545
368	2651	4534
369	2658	4525
370	2663	4515
371	2668	4504
372	2676	4499
373	2682	4489
374	2688	4480
375	2693	4470
376	2699	4460
377	2705	4452
378	2711	4442
379	2716	4431
380	2722	4422
381	2727	4412
382	2732	4401
383	2739	4393
384	2744	4384
385	2751	4377
386	2756	4367
387	2762	4357
388	2768	4349
389	2774	4339
390	2780	4330
391	2786	4322
392	2792	4312
393	2798	4303
394	2803	4293
395	2808	4284
396	2814	4275
397	2819	4265
398	2824	4255
399	2830	4246
400	2835	4236
401	2841	4227
402	2847	4218
403	2852	4207
404	2859	4201
405	2869	4197
406	2875	4189
407	2883	4184
408	2892	4178
409	2900	4174
410	2907	4166
411	2913	4158
412	2919	4149
413	2924	4139
414	2936	4138
415	2941	4129
416	2950	4125
417	2959	4120
418	2967	4114
419	2978	4113
420	2985	4106
421	2992	4099
422	2998	4090
423	3004	4082
424	3012	4076
425	3019	4068
426	3025	4059
427	3030	4050
428	3035	4039
429	3042	4033
430	3048	4025
431	3055	4017
432	3062	4010
433	3069	4003
434	3077	3997
435	3083	3989
436	3091	3983
437	3098	3975
438	3106	3969
439	3112	3961
440	3120	3955
441	3127	3948
442	3133	3940
443	3142	3934
444	3150	3928
445	3158	3922
446	3164	3915
447	3172	3908
448	3177	3899
449	3184	3892
450	3190	3884
451	3196	3874
452	3202	3867
453	3209	3859
454	3216	3852
455	3221	3843
456	3227	3835
457	3234	3827
458	3241	3820
459	3246	3810
460	3253	3803
461	3260	3797
462	3266	3789
463	3272	3780
464	3278	3771
465	3285	3764
466	3290	3755
467	3297	3748
468	3302	3739
469	3309	3732
470	3317	3726
471	3331	3726
472	3337	3718
473	3345	3712
474	3352	3705
475	3358	3696
476	3365	3689
477	3370	3680
478	3375	3671
479	3382	3664
480	3387	3654
481	3393	3646
482	3398	3637
483	3404	3629
484	3410	3621
485	3415	3612
486	3420	3603
487	3426	3595
488	3431	3585
489	3436	3576
490	3443	3569
491	3448	3560
492	3453	3551
493	3461	3545
494	3469	3539
495	3477	3533
496	3483	3525
497	3490	3518
498	3497	3511
499	3503	3503
500	3510	3496
501	3515	3487
502	3521	3479
503	3527	3471
504	3534	3464
505	3542	3458
506	3572	3473
507	3587	3474
508	3599	3471
509	3609	3468
510	3622	3466
511	3630	3459
512	3637	3453
513	3644	3445
514	3652	3440
515	3659	3432
516	3668	3427
517	3674	3419
518	3679	3410
519	3685	3402
520	3689	3392
521	3696	3384
522	3705	3379
523	3713	3373
524	3721	3366
525	3727	3358
526	3735	3352
527	3743	3346
528	3751	3340
529	3760	3334
530	3769	3329
531	3777	3322
532	3785	3316
533	3793	3310
534	3802	3304
535	3809	3297
536	3819	3292
537	3826	3286
538	3836	3281
539	3846	3276
540	3857	3272
541	3868	3268
542	3880	3266
543	3891	3261
544	3905	3260
545	3919	3258
546	3928	3253
547	3937	3247
548	3949	3244
549	3963	3242
550	3972	3237
551	3983	3233
552	3992	3227
553	4000	3220
554	4010	3215
555	4016	3207
556	4024	3200
557	4031	3193
558	4036	3184
559	4044	3177
560	4049	3169
561	4057	3162
562	4063	3153
563	4067	3144
564	4074	3137
565	4079	3127
566	4083	3118
567	4088	3109
568	4092	3100
569	4096	3090
570	4103	3082
571	4110	3075
572	4114	3066
573	4121	3058
574	4125	3049
575	4130	3040
576	4138	3033
577	4145	3026
578	4153	3019
579	4160	3013
580	4170	3007
581	4179	3001
582	4188	2995
583	4196	2988
584	4205	2983
585	4218	2980
586	4228	2974
587	4237	2968
588	4245	2962
589	4255	2957
590	4261	2948
591	4270	2943
592	4280	2937
593	4288	2931
594	4297	2925
595	4304	2917
596	4311	2910
597	4318	2902
598	4325	2895
599	4333	2888
600	4339	2881
601	4347	2874
602	4353	2866
603	4360	2858
604	4367	2851
605	4373	2843
606	4382	2837
607	4388	2829
608	4395	2822
609	4401	2813
610	4407	2806
611	4413	2798
612	4419	2790
613	4427	2783
614	4432	2774
615	4437	2766
616	4444	2758
617	4449	2750
618	4456	2742
619	4461	2734
620	4466	2725
621	4472	2718
622	4479	2710
623	4484	2702
624	4491	2695
625	4498	2687
626	4505	2680
627	4509	2671
628	4514	2662
629	4521	2655
630	4527	2647
631	4531	2638
632	4538	2631
633	4543	2622
634	4548	2614
635	4554	2606
636	4559	2598
637	4565	2590
638	4572	2582
639	4577	2575
640	4583	2567
641	4589	2559
642	4595	2551
643	4602	2544
644	4611	2538
645	4621	2532
646	4626	2524
647	4635	2517
648	4643	2511
649	4651	2504
650	4657	2496
651	4663	2489
652	4670	2481
653	4675	2473
654	4683	2466
655	4689	2458
656	4696	2451
657	4702	2444
658	4708	2436
659	4713	2428
660	4717	2419
661	4721	2410
662	4726	2402
663	4731	2394
664	4736	2386
665	4741	2378
666	4753	2373
667	4765	2368
668	4781	2365
669	4797	2362
670	4812	2359
671	4827	2356
672	4838	2350
673	4850	2346
674	4865	2342
675	4881	2339
676	4908	2342
677	4916	2335
678	4927	2329
679	4942	2326
680	4957	2322
681	4974	2319
682	4981	2311
683	4988	2304
684	4992	2295
685	4996	2287
686	5004	2279
687	5008	2271
688	5011	2262
689	5018	2254
690	5022	2246
691	5026	2237
692	5034	2230
693	5038	2221
694	5042	2212
695	5046	2204
696	5052	2196
697	5056	2187
698	5061	2179
699	5067	2171
700	5073	2164
701	5077	2155
702	5084	2147
703	5087	2139
704	5091	2130
705	5097	2122
706	5101	2114
707	5105	2105
708	5109	2097
709	5115	2089
710	5119	2080
711	5123	2072
712	5129	2064
713	5134	2056
714	5137	2048
715	5142	2039
716	5149	2032
717	5161	2027
718	5169	2020
719	5178	2014
720	5186	2007
721	5199	2002
722	5204	1993
723	5213	1987
724	5219	1979
725	5231	1974
726	5236	1966
727	5244	1959
728	5248	1951
729	5252	1942
730	5260	1935
731	5266	1928
732	5271	1920
733	5281	1913
734	5285	1905
735	5291	1898
736	5295	1889
737	5299	1881
738	5305	1873
739	5309	1865
740	5313	1857
741	5317	1848
742	5323	1841
743	5327	1832
744	5331	1824
745	5336	1817
746	5341	1809
747	5345	1800
748	5349	1792
749	5355	1785
750	5359	1777
751	5363	1768
752	5370	1761
753	5375	1753
754	5379	1745
755	5385	1738
756	5389	1730
757	5393	1721
758	5397	1713
759	5403	1706
760	5408	1698
761	5411	1690
762	5419	1683
763	5423	1675
764	5427	1667
765	5432	1659
766	5437	1651
767	5440	1643
768	5444	1635
769	5450	1628
770	5454	1620
771	5458	1612
772	5465	1604
773	5470	1597
774	5474	1589
775	5481	1582
776	5486	1574
777	5491	1567
778	5498	1559
779	5502	1552
780	5507	1544
781	5513	1537
782	5517	1529
783	5521	1521
784	5525	1513
785	5531	1506
786	5535	1498
787	5539	1490
788	5545	1482
789	5549	1475
790	5553	1467
791	5556	1459
792	5563	1452
793	5567	1444
794	5571	1436
795	5577	1429
796	5582	1421
797	5586	1414
798	5592	1406
799	5597	1399
800	5601	1391
801	5604	1383
802	5611	1376
803	5614	1368
804	5618	1361
805	5624	1353
806	5629	1346
807	5633	1338
808	5637	1330
809	5642	1323
810	5646	1315
811	5650	1308
812	5660	1301
813	5664	1294
814	5669	1286
815	5678	1280
816	5682	1272
817	5688	1265
818	5692	1258
819	5696	1250
820	5703	1243
821	5707	1235
822	5711	1228
823	5715	1220
824	5721	1213
825	5725	1206
826	5729	1198
827	5735	1191
828	5739	1183
829	5743	1176
830	5749	1169
831	5753	1161
832	5757	1154
833	5761	1146
834	5768	1139
835	5773	1132
836	5777	1125
837	5782	1117
838	5787	1110
839	5791	1103
840	5794	1095
841	5801	1088
842	5805	1081
843	5809	1073
844	5815	1066
845	5820	1059
846	5824	1052
847	5830	1045
848	5834	1037
849	5839	1030
850	5843	1023
851	5850	1016
852	5855	1009
853	5863	1002
854	5868	995
855	5873	988
856	5883	981
857	5888	974
858	5896	967
859	5901	960
860	5906	953
861	5914	946
862	5918	939
863	5922	932
864	5928	925
865	5932	917
866	5936	910
867	5942	903
868	5946	896
869	5950	889
870	5954	881
871	5960	874
872	5964	867
873	5969	860
874	5974	853
875	5980	846
876	5984	839
877	5989	832
878	5994	825
879	5998	817
880	6002	810
881	6008	803
882	6012	796
883	6016	789
884	6022	782
885	6026	775
886	6030	768
887	6034	761
888	6040	754
889	6044	747
890	6047	739
891	6053	732
892	6057	725
893	6061	718
894	6066	711
895	6077	705
896	6081	698
897	6088	691
898	6092	684
899	6096	677
900	6102	670
901	6106	663
902	6110	656
903	6114	649
904	6120	642
905	6123	635
906	6128	628
907	6134	621
908	6138	614
909	6142	607
910	6146	600
911	6152	593
912	6156	586
913	6160	579
914	6168	573
915	6175	566
916	6187	560
917	6197	553
918	6208	547
919	6225	541
920	6239	535
921	6254	529
922	6268	522
923	6280	516
924	6291	510
925	6305	503
926	6319	497
927	6332	491
928	6344	484
929	6354	478
930	6368	471
931	6375	465
932	6395	459
933	6402	452
934	6412	445
935	6418	438
936	6429	432
937	6434	425
938	6445	418
939	6451	411
940	6459	404
941	6464	398
942	6472	391
943	6486	384
944	6494	378
945	6505	371
946	6512	364
947	6522	357
948	6529	350
949	6538	344
950	6543	337
951	6549	330
952	6557	323
953	6563	316
954	6575	309
955	6580	302
956	6587	295
957	6591	288
958	6598	282
959	6604	275
960	6608	268
961	6616	261
962	6621	254
963	6627	247
964	6633	240
965	6639	233
966	6645	226
967	6650	219
968	6654	212
969	6662	206
970	6668	199
971	6672	192
972	6678	185
973	6683	178
974	6687	171
975	6695	164
976	6701	157
977	6705	150
978	6713	144
979	6717	137
980	6724	130
981	6730	123
982	6734	116
983	6738	109
984	6743	102
985	6747	95
986	6751	88
987	6757	82
988	6761	75
989	6765	68
990	6773	61
991	6780	54
992	6785	47
993	6794	41
994	6799	34
995	6805	27
996	6810	20
997	6814	13
998	6818	6
999	6823	0
