iter	RMSE
231	1.111244848
232	1.108830291
233	1.105462273
234	1.101131072
235	1.097788746
236	1.094930506
237	1.090747473
238	1.08789512
239	1.084499837
240	1.080079335
241	1.07662187
242	1.074323263
243	1.070725364
244	1.068833065
245	1.065643126
246	1.063120263
247	1.059811348
248	1.058710511
249	1.05413074
250	1.052585562
251	1.048737085
252	1.044679227
253	1.041304631
254	1.038470807
255	1.036411722
256	1.032962123
257	1.032188554
258	1.029079027
259	1.027550202
260	1.025803609
261	1.02323966
262	1.021648873
263	1.019406057
264	1.017692626
265	1.012763947
266	1.010038539
267	1.005905636
268	1.002597715
269	0.9982527476
270	0.9937893076
271	0.9905134102
272	0.9886820217
273	0.9865872914
274	0.9845994755
275	0.9820411649
276	0.9784771335
277	0.9754197974
278	0.9725004629
279	0.9694247948
280	0.9670512241
281	0.9642414369
282	0.9620698791
283	0.9598271521
284	0.9568096481
285	0.9540879817
286	0.9521435158
287	0.9498279553
288	0.9473314456
289	0.9449038252
290	0.9426949862
291	0.9411344193
292	0.9390974695
293	0.9369146759
294	0.9343924402
295	0.9323610925
296	0.9306907614
297	0.9289189737
298	0.9265344777
299	0.9251014555
300	0.9236122906
301	0.9203978454
302	0.9197952843
303	0.9181813009
304	0.9176497901
305	0.9144952741
306	0.9110572787
307	0.9104673857
308	0.9083238565
309	0.9041910389
310	0.9015264369
311	0.8983830225
312	0.8969027387
313	0.8945236164
314	0.8927434215
315	0.8908063511
316	0.8885938719
317	0.88733021
318	0.8855861561
319	0.8835926076
320	0.8812548131
321	0.8795800492
322	0.8777412822
323	0.8769367507
324	0.8747392709
325	0.8725612521
326	0.8708285234
327	0.8688112596
328	0.8662406312
329	0.8638897802
330	0.8611021252
331	0.8586141295
332	0.8564574776
333	0.8543687108
334	0.8525610649
335	0.8501909246
336	0.8494852792
337	0.8473745895
338	0.8453365315
339	0.843454446
340	0.8411833092
341	0.8395404668
342	0.8374179318
343	0.835413283
344	0.8328204417
345	0.8305679428
346	0.828871707
347	0.8253439419
348	0.8249253357
349	0.8230963136
350	0.8209450299
351	0.8204523603
352	0.8200504875
353	0.8180352545
354	0.8158199643
355	0.8144363955
356	0.8121741818
357	0.8093217626
358	0.8077828868
359	0.8055402561
360	0.8043402771
361	0.8020838125
362	0.8006760652
363	0.7997810802
364	0.7976855923
365	0.7963886631
366	0.794638512
367	0.7924346615
368	0.7903411429
369	0.7888357361
370	0.7866553853
371	0.7845581391
372	0.7833871998
373	0.7816694945
374	0.7803470317
375	0.7782462018
376	0.7766178886
377	0.7750448366
378	0.7738230315
379	0.7724199347
380	0.7707084742
381	0.7690309908
382	0.7675152964
383	0.7665396654
384	0.7643972186
385	0.7625023511
386	0.7621075476
387	0.7611225665
388	0.75922047
389	0.7576734951
390	0.7561484775
391	0.7539723855
392	0.7530240417
393	0.7514387037
394	0.7498196762
395	0.7471871412
396	0.7458490943
397	0.7444688529
398	0.7418429215
399	0.7401590022
400	0.7377197259
401	0.7355692022
402	0.7335496058
403	0.73243132
404	0.7317581651
405	0.7304275962
406	0.7289065436
407	0.7274347252
408	0.7256736388
409	0.7247654111
410	0.7235072374
411	0.721298749
412	0.7203564835
413	0.718178456
414	0.7177435288
415	0.7160978444
416	0.7149085606
417	0.7134718292
418	0.7125301371
419	0.7110246322
420	0.7089541755
421	0.7078546677
422	0.7056936971
423	0.7049304522
424	0.7041649283
425	0.7025134298
426	0.7009873608
427	0.6992046291
428	0.69801958
429	0.6965017776
430	0.6950883845
431	0.6933847811
432	0.6912879242
433	0.6900407612
434	0.6891591417
435	0.6884577445
436	0.6876975482
437	0.6858536724
438	0.6846676378
439	0.683159989
440	0.682328847
441	0.6809016161
442	0.6792037747
443	0.6781589859
444	0.676542341
445	0.6760012434
446	0.6753612073
447	0.6748744475
448	0.6742914498
449	0.6725362978
450	0.6712821413
451	0.6699228951
452	0.6687460412
453	0.6671431749
454	0.6653461741
455	0.6646500883
456	0.6628168624
457	0.6615882015
458	0.661399197
459	0.661189184
460	0.6598570585
461	0.6588630563
462	0.6575749666
463	0.6561165405
464	0.6544929968
465	0.653332529
466	0.652239016
467	0.6508251678
468	0.6498291559
469	0.6474069736
470	0.6456291222
471	0.6454550226
472	0.6442795782
473	0.6431711698
474	0.6424367937
475	0.6422090374
476	0.6411042231
477	0.6395068777
478	0.6391361257
479	0.6377989715
480	0.6368617381
481	0.6356440213
482	0.6344270586
483	0.6336461873
484	0.6323124819
485	0.6310908076
486	0.6294461482
487	0.6277325124
488	0.6273114351
489	0.6264628947
490	0.6252516196
491	0.6245351169
492	0.6242627589
493	0.6224724381
494	0.6212664424
495	0.6204728978
496	0.6193766881
497	0.6180608873
498	0.6163330016
499	0.616062933
500	0.6150165453
501	0.6143693092
502	0.6141877382
503	0.612501586
504	0.6110866994
505	0.6105981255
506	0.6097738992
507	0.6088943681
508	0.6081512502
509	0.6079001712
510	0.6067192937
511	0.6061957193
512	0.6048166993
513	0.603924023
514	0.6033749744
515	0.601921158
516	0.6007710632
517	0.5997795913
518	0.598595832
519	0.596887774
520	0.5960125641
521	0.594449054
522	0.5936729186
523	0.5929123646
524	0.5918429234
525	0.5909489152
526	0.5900599855
527	0.5890162021
528	0.587623235
529	0.5869406306
530	0.5858204258
531	0.5844630031
532	0.5838586365
533	0.5835247052
534	0.5825480486
535	0.5817768345
536	0.5809869502
537	0.5805706153
538	0.5793807994
539	0.5783665903
540	0.5778129914
541	0.5770000327
542	0.5760356545
543	0.575224513
544	0.5735255053
545	0.5723241828
546	0.5713804618
547	0.5705686087
548	0.5694039583
549	0.5690171714
550	0.5680459926
551	0.5673459033
552	0.5664782267
553	0.5653672321
554	0.5644003028
555	0.5629151186
556	0.5623702836
557	0.5613918105
558	0.5602729808
559	0.5592107326
560	0.5590014133
561	0.5580174695
562	0.5570847671
563	0.5563084765
564	0.5551257196
565	0.5544732443
566	0.5535507739
567	0.5532080298
568	0.5526198922
569	0.5519738527
570	0.551604471
571	0.5506393862
572	0.5498344015
573	0.5489328726
574	0.5480205788
575	0.5471807914
576	0.5464418988
577	0.5456806207
578	0.5442888442
579	0.5430850718
580	0.5424472144
581	0.5416611652
582	0.5406485192
583	0.5401861872
584	0.5392859206
585	0.5379542292
586	0.5368904233
587	0.5360783435
588	0.5358120445
589	0.5349101704
590	0.5345245825
591	0.5337837162
592	0.5334748214
593	0.5323878823
594	0.5314206979
595	0.5308522589
596	0.5305405282
597	0.5298931327
598	0.529225593
599	0.5285645128
600	0.5279019893
601	0.5265465661
602	0.5256271044
603	0.5243943072
604	0.5239753861
605	0.5232098185
606	0.5223149705
607	0.5211280872
608	0.5203864739
609	0.519848188
610	0.5190540502
611	0.5184285748
612	0.5174704636
613	0.5170554281
614	0.5169160301
615	0.5167059573
616	0.5161508637
617	0.5152107708
618	0.5147337527
619	0.5145095766
620	0.5136866653
621	0.5133101782
622	0.5123479527
623	0.5117347477
624	0.5100832793
625	0.5095722858
626	0.5090247735
627	0.5089059334
628	0.5085499493
629	0.5073379112
630	0.507218154
631	0.5069949755
632	0.5065211244
633	0.5056706627
634	0.5054092362
635	0.5051541012
636	0.5049082752
637	0.5041665388
638	0.504016236
639	0.5033468743
640	0.50312055
641	0.5027146395
642	0.5018732406
643	0.5014403149
644	0.5010535189
645	0.5007654003
646	0.5002660015
647	0.4999691361
648	0.4985040027
649	0.4977570393
650	0.4969930841
651	0.4968983294
652	0.4967128532
653	0.4958047475
654	0.495152439
655	0.4950077389
656	0.4938416322
657	0.4930717555
658	0.4920072827
659	0.4907165005
660	0.4894825948
661	0.4887380787
662	0.4880794
663	0.4869239131
664	0.4866644996
665	0.4859930137
666	0.4848474216
667	0.484581385
668	0.4841107071
669	0.4835285166
670	0.4828549555
671	0.4823627768
672	0.4821022186
673	0.4814357265
674	0.4808665764
675	0.4796836362
676	0.4793798677
677	0.4790119793
678	0.4783956298
679	0.4779629024
680	0.4775785321
681	0.4768973062
682	0.4761779806
683	0.4757221312
684	0.4756263656
685	0.4745004284
686	0.4733769366
687	0.4726598702
688	0.4724881769
689	0.4721290498
690	0.4715329485
691	0.4709232342
692	0.4702156967
693	0.4692951532
694	0.4681655718
695	0.4676259833
696	0.4672914551
697	0.4664248181
698	0.4654152995
699	0.4645871187
700	0.4636129727
701	0.4629021196
702	0.4624356509
703	0.4616898587
704	0.461502723
705	0.4607064913
706	0.4601264838
707	0.4594967183
708	0.4587125857
709	0.4578436199
710	0.4570581987
711	0.4563754083
712	0.455734282
713	0.4552346344
714	0.4548407667
715	0.4546658498
716	0.4536787784
717	0.4531656475
718	0.4522545931
719	0.4515319897
720	0.4508912132
721	0.4505330955
722	0.45014846
723	0.4496230798
724	0.4489714995
725	0.447760626
726	0.4472187612
727	0.4467254862
728	0.4461292088
729	0.4460194015
730	0.4456381404
731	0.44517907
732	0.4444456942
733	0.4440187871
734	0.4435271464
735	0.4430733229
736	0.4425361475
737	0.4424464591
738	0.441798744
739	0.4409964408
740	0.4403560813
741	0.4402082443
742	0.4394058233
743	0.4389634092
744	0.4382297661
745	0.4378509109
746	0.4373704312
747	0.4368419065
748	0.4359376797
749	0.4353610193
750	0.43480262
751	0.4338611123
752	0.4330919158
753	0.4324355662
754	0.4320956257
755	0.4318407706
756	0.4310733094
757	0.4304414258
758	0.4301940002
759	0.4295671248
760	0.4287138398
761	0.4277060871
762	0.4276329049
763	0.4272120374
764	0.4262170338
765	0.4260307804
766	0.424911463
767	0.4244527606
768	0.423957231
769	0.4231243814
770	0.4226545778
771	0.4219176024
772	0.4213037995
773	0.4205828897
774	0.4198241089
775	0.4196174672
776	0.4190959302
777	0.4182846171
778	0.4180489042
779	0.4173703192
780	0.4173115799
781	0.4170892268
782	0.4167629614
783	0.4163096113
784	0.4161431439
785	0.4157729948
786	0.4156332479
787	0.4148094529
788	0.4141926227
789	0.4133838245
790	0.4128581363
791	0.4124350195
792	0.4121886216
793	0.411428394
794	0.4113434814
795	0.4107073191
796	0.4104515434
797	0.409697911
798	0.4091610675
799	0.4089148485
800	0.4081164623
801	0.4078143337
802	0.4075121153
803	0.4066543511
804	0.4061262759
805	0.4057383683
806	0.405098668
807	0.4048103464
808	0.4042627427
809	0.4038146457
810	0.4035882753
811	0.4029524912
812	0.4023803816
813	0.4022544479
814	0.4014741791
815	0.4009087713
816	0.4001814503
817	0.3998011069
818	0.3994006639
819	0.3988249052
820	0.3983863013
821	0.3982359314
822	0.3981183255
823	0.3974881912
824	0.3971166339
825	0.3965310835
826	0.3962912006
827	0.3958290031
828	0.395536877
829	0.3948220734
830	0.3941481229
831	0.3936614095
832	0.3932922292
833	0.392662452
834	0.3922602342
835	0.3917799874
836	0.3910829143
837	0.3905108723
838	0.3899821883
839	0.3895332082
840	0.389018235
841	0.3881810281
842	0.3875065581
843	0.3870939384
844	0.3865568403
845	0.3859900235
846	0.3855875065
847	0.3851030718
848	0.384604719
849	0.3842266188
850	0.383441683
851	0.3830673405
852	0.3826134557
853	0.3819816014
854	0.381268082
855	0.3807343401
856	0.3803943017
857	0.3801722926
858	0.3796469649
859	0.3789852522
860	0.3789383132
861	0.3781229037
862	0.377511115
863	0.3774335364
864	0.3773645202
865	0.3773066883
866	0.3769292064
867	0.3764394676
868	0.3762018872
869	0.3758561675
870	0.375562902
871	0.3747936437
872	0.3741639456
873	0.3738822006
874	0.3733336508
875	0.3732521415
876	0.3724896895
877	0.3720094459
878	0.3715989128
879	0.371259188
880	0.3708865901
881	0.3703555847
882	0.3699793277
883	0.3695595749
884	0.3690212408
885	0.3687016144
886	0.368389651
887	0.3679530969
888	0.3678141172
889	0.3675030944
890	0.3673501913
891	0.3668244701
892	0.3661296224
893	0.3653032981
894	0.364768238
895	0.3640873305
896	0.3635736588
897	0.3629586989
898	0.3625601581
899	0.3620764985
900	0.3618151883
901	0.3616503332
902	0.3613912228
903	0.3612572561
904	0.3605769677
905	0.3602734498
906	0.359755972
907	0.3591911134
908	0.358353675
909	0.3579695295
910	0.3574555335
911	0.3570466929
912	0.3565791396
913	0.3563938202
914	0.3555773918
915	0.3551342807
916	0.3548291699
917	0.3543480495
918	0.3536906935
919	0.3532621825
920	0.3526630022
921	0.3523764468
922	0.3520037054
923	0.3515547579
924	0.3513306215
925	0.3507849703
926	0.3502191074
927	0.349595302
928	0.3491481061
929	0.3486142302
930	0.3481296165
931	0.3476844228
932	0.3473070054
933	0.3472785624
934	0.3470258632
935	0.3464478733
936	0.3458850516
937	0.3457985758
938	0.3450867858
939	0.3444536318
940	0.343957035
941	0.3438453329
942	0.3437766989
943	0.3434949001
944	0.3431746013
945	0.3428235307
946	0.3426367642
947	0.3421942526
948	0.3418694254
949	0.3413949167
950	0.3410423481
951	0.3407098122
952	0.3403641486
953	0.3400438488
954	0.3397019762
955	0.3396579056
956	0.3393100451
957	0.3391266521
958	0.3386452774
959	0.3383490659
960	0.3380183062
961	0.3377436745
962	0.3375101733
963	0.3369505453
964	0.3365177582
965	0.3359865589
966	0.3358526939
967	0.3355540392
968	0.3352381592
969	0.3350893687
970	0.3347878457
971	0.3342575181
972	0.3339511346
973	0.3335976361
974	0.3330759944
975	0.3328006836
976	0.3322582664
977	0.3319427655
978	0.331395713
979	0.3307995517
980	0.3302382731
981	0.3299064969
982	0.3295950965
983	0.329122412
984	0.3284497753
985	0.3280877778
986	0.3276627255
987	0.3274940839
988	0.3272346985
989	0.3270079238
990	0.3265983433
991	0.3261409683
992	0.3259729311
993	0.3254672781
994	0.3254209421
995	0.3249083807
996	0.3245882847
997	0.3245042066
998	0.3240505525
999	0.3236027878
